new_ids,listed_products, total_units_sold , mean_units_sold_per_product ,rating, ratings_count ,mean_product_prices,mean_retail_prices,average_markup,average_discount
001,2," 120,000 "," 60,000 ",4.219," 320,031 ",9,20,11.00,54
002,5," 107,100 "," 21,420 ",3.934," 139,223 ",7.76,34.2,26.44,61
003,2," 100,007 "," 50,004 ",4.053," 108,048 ",8,8,0.00,-1
004,1," 100,000 "," 100,000 ",3.889," 19,248 ",5.67,19,13.33,71
005,1," 100,000 "," 100,000 ",4.036," 366,898 ",5,33,28.00,85
006,1," 100,000 "," 100,000 ",4.067," 330,405 ",5.77,48,42.23,88
007,7," 96,000 "," 13,714 ",4.139," 55,499 ",6.69,6.29,-0.40,-4
008,4," 90,100 "," 22,525 ",4.049," 151,249 ",3.43,3.75,0.32,11
009,3," 80,000 "," 26,667 ",4.104," 839,882 ",7.22,14.67,7.45,33
010,5," 80,000 "," 16,000 ",3.966," 12,974 ",8.4,7.8,-0.60,-7
011,3," 75,000 "," 25,000 ",4.256," 165,915 ",13.33,100.33,87.00,86
012,4," 71,100 "," 17,775 ",3.968," 51,369 ",11.5,86.25,74.75,87
013,6," 63,100 "," 10,517 ",4.147," 126,370 ",3.61,3.33,-0.28,-4
014,3," 61,000 "," 20,333 ",4.179," 17,816 ",8.67,8,-0.67,-8
015,4," 60,100 "," 15,025 ",4.128," 151,914 ",12.5,83,70.50,86
016,3," 60,000 "," 20,000 ",4.157," 402,743 ",9,114,105.00,58
017,3," 60,000 "," 20,000 ",4.387," 18,910 ",16.33,14.33,-2.00,-14
018,15," 58,500 "," 3,900 ",3.885," 32,168 ",4.18,4.13,-0.05,1
019,6," 55,200 "," 9,200 ",4.121," 55,670 ",5.39,5.17,-0.22,-3
020,2," 55,000 "," 27,500 ",4.156," 15,538 ",5.5,5,-0.50,-8
021,12," 54,300 "," 4,525 ",4.045," 12,309 ",5.56,5.17,-0.39,-4
022,3," 50,000 "," 16,667 ",4.038," 70,773 ",8,7.33,-0.67,-9
023,4," 50,000 "," 12,500 ",4.154," 59,903 ",7.12,6.5,-0.62,-9
024,1," 50,000 "," 50,000 ",3.84," 78,307 ",8,54,46.00,86
025,1," 50,000 "," 50,000 ",4.077," 10,194 ",7,6,-1.00,-16
026,1," 50,000 "," 50,000 ",4.095," 13,665 ",4,6,2.00,34
027,1," 50,000 "," 50,000 ",4.095," 11,481 ",5,5,0.00,0
028,1," 50,000 "," 50,000 ",4.096," 96,276 ",5.7,58,52.30,91
029,1," 50,000 "," 50,000 ",4.105," 59,198 ",9,81,72.00,89
030,1," 50,000 "," 50,000 ",4.165," 229,199 ",2,2,0.00,0
031,1," 50,000 "," 50,000 ",4.216," 203,805 ",4.66,11,6.34,58
032,1," 50,000 "," 50,000 ",4.228," 38,264 ",6,6,0.00,0
033,1," 50,000 "," 50,000 ",4.302," 37,076 ",9,8,-1.00,-12
034,6," 46,000 "," 7,667 ",3.968," 36,361 ",8.5,41.83,33.33,67
035,8," 43,100 "," 5,388 ",4.081," 88,193 ",8.25,7.63,-0.62,-8
036,4," 41,100 "," 10,275 ",4.08," 18,877 ",7.47,20.25,12.78,17
037,3," 41,000 "," 13,667 ",4.284," 43,676 ",5.33,5,-0.33,-5
038,4," 41,000 "," 10,250 ",3.802," 54,504 ",7,8.75,1.75,17
039,4," 40,000 "," 10,000 ",4.109," 16,013 ",6.68,6.25,-0.43,-3
040,2," 40,000 "," 20,000 ",4.105," 73,701 ",9.5,34,24.50,73
041,2," 40,000 "," 20,000 ",4.137," 17,760 ",11,14,3.00,22
042,2," 40,000 "," 20,000 ",4.168," 19,221 ",8,7,-1.00,-14
043,8," 36,100 "," 4,513 ",4.106," 42,919 ",6.55,23.75,17.20,46
044,5," 32,000 "," 6,400 ",4.066," 39,381 ",10.8,23.8,13.00,7
045,6," 31,206 "," 5,201 ",4.05," 65,189 ",7.67,16.83,9.16,39
046,4," 31,000 "," 7,750 ",4," 13,946 ",9.5,8.5,-1.00,-12
047,3," 30,000 "," 10,000 ",3.936," 5,816 ",11,10,-1.00,-10
048,3," 30,000 "," 10,000 ",4.188," 80,713 ",8,84,76.00,91
049,3," 30,000 "," 10,000 ",4.31," 78,616 ",12.67,11.33,-1.34,-11
050,4," 30,000 "," 7,500 ",4.09," 14,095 ",6,5.75,-0.25,-2
051,2," 30,000 "," 15,000 ",3.903," 25,356 ",8.5,22,13.50,55
052,2," 30,000 "," 15,000 ",3.999," 45,964 ",5.41,5.5,0.09,2
053,9," 28,100 "," 3,122 ",4.007," 80,093 ",9.58,17.78,8.20,18
054,4," 27,000 "," 6,750 ",3.925," 12,441 ",10,9,-1.00,-11
055,5," 26,100 "," 5,220 ",3.929," 24,564 ",7.76,21.8,14.04,17
056,4," 26,000 "," 6,500 ",3.872," 8,821 ",10,8.75,-1.25,-14
057,4," 26,000 "," 6,500 ",4.265," 96,838 ",6.34,5.5,-0.84,-15
058,6," 25,200 "," 4,200 ",3.909," 10,474 ",7.83,7.17,-0.66,-8
059,4," 25,100 "," 6,275 ",3.939," 35,262 ",7,21.75,14.75,42
060,2," 25,000 "," 12,500 ",3.999," 20,681 ",9,8.5,-0.50,-6
061,2," 25,000 "," 12,500 ",4.095," 11,854 ",6.87,6,-0.87,-14
062,4," 22,100 "," 5,525 ",3.872," 22,711 ",12.75,40.5,27.75,69
063,4," 22,100 "," 5,525 ",3.981," 12,913 ",11.25,29.25,18.00,25
064,3," 22,000 "," 7,333 ",3.881," 3,771 ",8,7,-1.00,-14
065,5," 22,000 "," 4,400 ",4," 5,534 ",8.36,25.2,16.84,68
066,6," 21,400 "," 3,567 ",3.9," 17,752 ",5.68,10.33,4.65,38
067,4," 21,100 "," 5,275 ",4.201," 90,105 ",13.25,93,79.75,86
068,2," 21,000 "," 10,500 ",3.998," 40,245 ",8.5,7.5,-1.00,-13
069,2," 21,000 "," 10,500 ",4.023," 5,281 ",9.5,8.5,-1.00,-12
070,2," 21,000 "," 10,500 ",4.069," 25,093 ",8,91,83.00,92
071,2," 21,000 "," 10,500 ",4.085," 15,076 ",9,13,4.00,31
072,2," 21,000 "," 10,500 ",4.099," 40,616 ",8.5,7.5,-1.00,-13
073,2," 21,000 "," 10,500 ",4.19," 8,191 ",11.5,106,94.50,90
074,5," 20,300 "," 4,060 ",4.138," 66,644 ",5.61,5.2,-0.41,-3
075,3," 20,200 "," 6,733 ",4.002," 14,482 ",6.15,5.67,-0.48,1
076,3," 20,200 "," 6,733 ",4.155," 16,803 ",10.33,9,-1.33,-15
077,5," 20,200 "," 4,040 ",4.204," 246,312 ",9.2,9,-0.20,-3
078,3," 20,100 "," 6,700 ",3.874," 9,177 ",7.67,18,10.33,58
079,3," 20,100 "," 6,700 ",4.225," 5,316 ",6.33,40.67,34.34,42
080,2," 20,100 "," 10,050 ",3.919," 3,791 ",3.38,3.5,0.12,4
081,2," 20,100 "," 10,050 ",4.017," 40,943 ",5.75,30.5,24.75,39
082,2," 20,100 "," 10,050 ",4.153," 8,776 ",7.5,7,-0.50,-6
083,3," 20,020 "," 6,673 ",3.925," 32,394 ",7.67,25.33,17.66,51
